Об'єкт,Підсистема,Показник,Значення,Одиниця / тип,Рівень стану,Пріоритет,Рекомендоване управлінське рішення
Бюветний комплекс у парку «Нивки»,Питна вода,S = Σ(Cᵢ/ГДКᵢ),3.306,інтегральна оцінка,Проблемний або критичний стан,Критичний,"Провести детальний лабораторний аналіз, визначити джерела забруднення та розробити коригувальні природоохоронні заходи."
Ділянка річки Дніпро біля Гідропарку,Поверхневі води,S,2.849,інтегральна оцінка,Проблемний або критичний стан,Критичний,"Провести детальний лабораторний аналіз, визначити джерела забруднення та розробити коригувальні природоохоронні заходи."
Головний корпус КПІ ім. Ігоря Сікорського,Енергетика,Kен,0.983,коефіцієнт,Напружений стан,Високий,"Провести енергоаудит, оптимізувати тепловий режим, перевірити освітлення та визначити резерви енергозбереження."
Центральний залізничний вокзал Києва,Економіка / транспорт,Oзаг,0.851,нормована оцінка,Напружений стан,Високий,"Оптимізувати пасажиропотоки, графіки роботи інфраструктури та енергоспоживання об’єкта."
Навчальний корпус НН ІАТЕ КПІ,Енергетика,Kен,0.8,коефіцієнт,Напружений стан,Високий,"Провести енергоаудит, оптимізувати тепловий режим, перевірити освітлення та визначити резерви енергозбереження."
Олександрівська клінічна лікарня,Здоров’я населення,Oзд,0.657,нормована оцінка,Контрольований стан із помірним навантаженням,Середній,"Посилити контроль звернень пацієнтів, проаналізувати причини захворюваності та запланувати профілактичні заходи."
Станція моніторингу якості повітря на Бессарабській площі,Повітря,q̃,0.623,інтегральний показник,Контрольований стан із помірним навантаженням,Середній,"Продовжити плановий моніторинг якості повітря. Окремо контролювати NO₂, PM2.5 та формальдегід, які наближені до граничних рівнів."
Бортницька станція аерації,Стічні води,Oстічн,0.61,нормована оцінка,Контрольований стан із помірним навантаженням,Середній,Проводити плановий контроль якості води та оновлювати результати лабораторних вимірювань.
Завод «Енергія»,Відходи,Oвідх,0.606,нормована оцінка,Контрольований стан із помірним навантаженням,Середній,"Підтримувати контрольоване поводження з відходами, регулярно перевіряти обсяги ТПВ та рівень токсичності."
Пост контролю радіаційного фону біля НН ІАТЕ КПІ,Радіація,Kрад,0.389,коефіцієнт,Прийнятний стан,Низький,Підтримувати плановий радіаційний контроль. Додаткових термінових заходів не потрібно.
